date,load
2024-02-19,12.972222222222221
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,46.736111111111114
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,4.166666666666666
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-03-29,0.0
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,0.0
2024-04-02,13.320916666666669
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,35.54015972222223
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,14.635291666666665
2024-05-24,0.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,0.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-01,0.0
2024-06-02,0.0
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-08,0.0
2024-06-09,0.0
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-15,33.23944444444445
2024-06-16,0.0
2024-06-17,0.0
2024-06-18,0.0
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,35.79720833333333
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.0
2024-07-04,0.0
2024-07-05,0.0
2024-07-06,0.0
2024-07-07,0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-13,0.0
2024-07-14,0.0
2024-07-15,0.0
2024-07-16,0.0
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,52.0489375
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,0.0
2024-07-27,38.458333333333336
2024-07-28,0.0
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,0.0
2024-08-02,0.0
2024-08-03,459.0
2024-08-04,0.0
2024-08-05,9.048375
2024-08-06,0.0
2024-08-07,0.0
2024-08-08,0.0
2024-08-09,0.0
2024-08-10,18.791666666666668
2024-08-11,0.0
2024-08-12,0.0
2024-08-13,0.0
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,0.0
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,0.0
2024-08-23,0.0
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,0.0
2024-08-27,0.0
2024-08-28,0.0
2024-08-29,0.0
2024-08-30,0.0
2024-08-31,0.0
2024-09-01,0.0
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,0.0
2024-09-10,13.3931875
2024-09-11,0.0
2024-09-12,0.0
2024-09-13,0.0
2024-09-14,6.32225
2024-09-15,0.0
2024-09-16,0.0
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,0.0
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,112.56944444444444
2024-09-23,3.236111111111111
2024-09-24,11.265873015873016
2024-09-25,28.09722222222222
2024-09-26,14.125
2024-09-27,19.763888888888886
2024-09-28,106.79166666666667
2024-09-29,67.68055555555556
2024-09-30,22.319444444444443
2024-10-01,28.76388888888889
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,0.0
2024-10-05,25.0
2024-10-06,0.0
2024-10-07,0.0
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.0
2024-10-13,0.0
2024-10-14,0.0
2024-10-15,0.0
2024-10-16,0.0
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,0.0
2024-10-24,0.0
2024-10-25,6.000229166666667
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,25.333333333333336
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,0.0
2024-11-13,0.0
2024-11-14,0.0
2024-11-15,0.0
2024-11-16,0.0
2024-11-17,0.0
2024-11-18,0.0
2024-11-19,0.0
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,0.0
2024-11-23,0.0
2024-11-24,0.0
2024-11-25,0.0
2024-11-26,0.0
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,0.0
2024-11-30,0.0
2024-12-01,0.0
2024-12-02,0.0
2024-12-03,0.0
2024-12-04,0.0
2024-12-05,0.0
2024-12-06,0.0
2024-12-07,0.0
2024-12-08,0.0
2024-12-09,0.0
2024-12-10,0.0
2024-12-11,0.0
2024-12-12,0.0
2024-12-13,0.0
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,0.0
2024-12-17,0.0
2024-12-18,0.0
2024-12-19,0.0
2024-12-20,0.0
2024-12-21,0.0
2024-12-22,0.0
2024-12-23,0.0
2024-12-24,0.0
2024-12-25,0.0
2024-12-26,0.0
2024-12-27,0.0
2024-12-28,0.0
2024-12-29,0.0
2024-12-30,0.0
2024-12-31,0.0
2025-01-01,0.0
2025-01-02,0.0
2025-01-03,0.0
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,0.0
2025-01-08,0.0
2025-01-09,0.0
2025-01-10,0.0
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,0.0
2025-01-15,0.0
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,36.01388888888889
2025-01-19,0.0
2025-01-20,0.0
2025-01-21,0.0
2025-01-22,0.0
2025-01-23,0.0
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,0.0
2025-01-28,0.0
2025-01-29,0.0
2025-01-30,0.0
2025-01-31,0.0
2025-02-01,0.0
2025-02-02,28.440104166666664
2025-02-03,0.0
2025-02-04,8.204166666666667
2025-02-05,0.0
2025-02-06,0.0
2025-02-07,48.041666666666664
2025-02-08,0.0
2025-02-09,65.91752777777778
2025-02-10,0.0
2025-02-11,9.276312500000001
2025-02-12,59.703738095238094
2025-02-13,0.0
2025-02-14,0.0
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,48.1723630952381
2025-02-18,102.432375
2025-02-19,0.0
2025-02-20,165.05781944444445
2025-02-21,28.334770833333337
2025-02-22,113.27109424603174
2025-02-23,30.302265873015877
2025-02-24,14.242069444444443
2025-02-25,0.0
2025-02-26,0.0
2025-02-27,0.0
2025-02-28,0.0
2025-03-01,0.0
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,0.0
2025-03-05,0.0
2025-03-06,0.0
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.0
2025-03-13,0.0
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,0.0
2025-03-21,0.0
2025-03-22,0.0
2025-03-23,0.0
2025-03-24,0.0
2025-03-25,0.0
2025-03-26,0.0
2025-03-27,0.0
2025-03-28,18.180027777777777
2025-03-29,16.86111111111111
2025-03-30,76.66666666666667
2025-03-31,0.0
2025-04-01,39.861111111111114
2025-04-02,24.902777777777775
2025-04-03,0.0
2025-04-04,84.80555555555556
2025-04-05,47.55555555555556
2025-04-06,0.0
2025-04-07,56.041666666666664
2025-04-08,0.0
2025-04-09,35.638888888888886
2025-04-10,38.458333333333336
2025-04-11,0.0
2025-04-12,6.375
2025-04-13,22.77777777777778
2025-04-14,0.0
2025-04-15,31.5
2025-04-16,0.0
2025-04-17,20.833333333333336
2025-04-18,25.416666666666664
2025-04-19,0.0
2025-04-20,37.23611111111111
2025-04-21,51.967222222222226
2025-04-22,31.09722222222222
2025-04-23,0.0
2025-04-24,36.69444444444444
2025-04-25,0.0
2025-04-26,0.0
2025-04-27,24.76388888888889
2025-04-28,0.0
2025-04-29,34.11111111111111
2025-04-30,0.0
2025-05-01,0.0
2025-05-02,9.194444444444445
2025-05-03,30.208333333333332
2025-05-04,0.0
2025-05-05,0.0
2025-05-06,50.31944444444445
2025-05-07,0.0
2025-05-08,47.458333333333336
2025-05-09,47.15413690476191
2025-05-10,36.0
2025-05-11,0.0
2025-05-12,0.0
2025-05-13,21.47222222222222
2025-05-14,0.0
2025-05-15,0.0
2025-05-16,0.0
2025-05-17,0.0
2025-05-18,0.0
2025-05-19,43.666666666666664
2025-05-20,0.0
2025-05-21,48.486111111111114
2025-05-22,0.0
2025-05-23,0.0
2025-05-24,63.98633928571429
2025-05-25,31.618055555555557
2025-05-26,69.1388888888889
2025-05-27,0.0
2025-05-28,0.0
2025-05-29,46.80555555555556
2025-05-30,6.807043650793651
2025-05-31,0.0
2025-06-01,0.0
2025-06-02,0.0
2025-06-03,0.0
2025-06-04,38.420525793650796
2025-06-05,55.831607142857145
2025-06-06,16.666746031746033
2025-06-07,17.15577380952381
2025-06-08,58.36919642857143
2025-06-09,17.37577380952381
2025-06-10,0.0
2025-06-11,54.925248015873024
2025-06-12,0.0
2025-06-13,0.0
2025-06-14,0.0
2025-06-15,0.0
2025-06-16,0.0
2025-06-17,0.0
2025-06-18,80.9517857142857
2025-06-19,0.0
2025-06-20,0.0
2025-06-21,0.0
2025-06-22,0.0
2025-06-23,0.0
2025-06-24,82.64682539682539
2025-06-25,0.0
2025-06-26,25.95565277777778
2025-06-27,23.284930555555555
2025-06-28,6.327281746031746
2025-06-29,0.0
2025-06-30,72.82447420634921
2025-07-01,0.0
2025-07-02,0.0
2025-07-03,17.959861111111106
2025-07-04,0.0
2025-07-05,29.077666666666666
2025-07-06,0.0
2025-07-07,0.0
2025-07-08,0.0
2025-07-09,0.0
2025-07-10,0.0
2025-07-11,0.0
2025-07-12,39.58297619047619
2025-07-13,9.790565476190475
2025-07-14,0.0
2025-07-15,45.12659722222222
2025-07-16,0.0
2025-07-17,99.18063492063492
2025-07-18,0.0
2025-07-19,0.0
2025-07-20,0.0
2025-07-21,0.0
2025-07-22,118.55869047619049
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,0.0
2025-07-26,0.0
2025-07-27,0.0
2025-07-28,0.0
2025-07-29,0.0
2025-07-30,0.0
2025-07-31,0.0
2025-08-01,35.352229166666675
2025-08-02,50.76638888888889
2025-08-03,0.0
2025-08-04,19.686777777777777
2025-08-05,0.0
2025-08-06,94.58705357142857
2025-08-07,0.0
2025-08-08,0.0
2025-08-09,0.0
2025-08-10,0.0
2025-08-11,12.423486111111112
2025-08-12,32.85995932539682
2025-08-13,12.732944444444442
2025-08-14,36.56387797619047
2025-08-15,0.0
2025-08-16,11.030798611111111
2025-08-17,39.70054861111112
2025-08-18,31.849404761904765
2025-08-19,12.761562500000002
2025-08-20,11.924708333333335
2025-08-21,35.95864781746032
2025-08-22,0.0
2025-08-23,0.0
2025-08-24,0.0
2025-08-25,0.0
2025-08-26,0.0
2025-08-27,37.85964484126984
2025-08-28,0.0
2025-08-29,40.58376785714286
2025-08-30,11.900388888888887
2025-08-31,0.0
2025-09-01,0.0
2025-09-02,53.9215873015873
2025-09-03,0.0
2025-09-04,50.25141269841269
2025-09-05,8.838708333333335
2025-09-06,39.629552579365075
2025-09-07,0.0
2025-09-08,0.0
2025-09-09,9.46125
2025-09-10,33.42207936507936
2025-09-11,0.0
2025-09-12,49.65114384920635
2025-09-13,0.0
2025-09-14,0.0
2025-09-15,0.0
2025-09-16,7.881500000000001
2025-09-17,38.842333333333336
2025-09-18,9.498958333333333
2025-09-19,32.94819444444444
2025-09-20,0.0
2025-09-21,0.0
2025-09-22,49.328334325396824
2025-09-23,0.0
2025-09-24,11.123055555555554
2025-09-25,50.58354761904762
2025-09-26,0.0
2025-09-27,0.0
2025-09-28,9.717722222222223
2025-09-29,34.699201388888895
2025-09-30,0.0
2025-10-01,52.54591666666667
2025-10-02,0.0
2025-10-03,0.0
2025-10-04,59.834944444444446
2025-10-05,0.0
2025-10-06,0.0
2025-10-07,49.30383829365079
2025-10-08,0.0
2025-10-09,0.0
2025-10-10,9.471062499999999
2025-10-11,16.910376984126984
2025-10-12,0.0
2025-10-13,0.0
2025-10-14,0.0
2025-10-15,0.0
2025-10-16,0.0
2025-10-17,0.0
2025-10-18,0.0
2025-10-19,5.930555555555555
2025-10-20,0.0
2025-10-21,0.0
2025-10-22,0.0
2025-10-23,0.0
2025-10-24,0.0
2025-10-25,0.0
2025-10-26,0.0
2025-10-27,0.0
2025-10-28,0.0
2025-10-29,0.0
2025-10-30,0.0
2025-10-31,0.0
2025-11-01,0.0
2025-11-02,0.0
2025-11-03,0.0
2025-11-04,0.0
2025-11-05,22.34742063492063
2025-11-06,0.0
2025-11-07,33.3285119047619
2025-11-08,0.0
2025-11-09,0.0
2025-11-10,0.0
2025-11-11,0.0
2025-11-12,0.0
2025-11-13,0.0
2025-11-14,0.0
2025-11-15,0.0
2025-11-16,0.0
2025-11-17,0.0
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,0.0
2025-11-22,0.0
2025-11-23,0.0
2025-11-24,0.0
2025-11-25,0.0
2025-11-26,0.0
2025-11-27,0.0
2025-11-28,0.0
2025-11-29,0.0
2025-11-30,0.0
2025-12-01,0.0
2025-12-02,0.0
2025-12-03,0.0
2025-12-04,0.0
2025-12-05,0.0
2025-12-06,0.0
2025-12-07,0.0
2025-12-08,0.0
2025-12-09,0.0
2025-12-10,0.0
2025-12-11,0.0
2025-12-12,0.0
2025-12-13,0.0
2025-12-14,0.0
2025-12-15,0.0
2025-12-16,0.0
2025-12-17,0.0
2025-12-18,0.0
2025-12-19,0.0
2025-12-20,0.0
2025-12-21,0.0
2025-12-22,0.0
2025-12-23,0.0
2025-12-24,27.49955158730159
2025-12-25,54.9659126984127
2025-12-26,38.34339880952381
2025-12-27,36.151250000000005
2025-12-28,42.17904365079365
2025-12-29,37.383805555555554
2025-12-30,0.0
2025-12-31,0.0
2026-01-01,27.90116567460317
2026-01-02,58.39324404761905
2026-01-03,27.8398125
2026-01-04,48.170095238095236
2026-01-05,32.789414682539686
2026-01-06,33.68525694444445
2026-01-07,34.9017867063492
2026-01-08,56.16864682539682
2026-01-09,0.0
2026-01-10,28.618166666666664
2026-01-11,23.041602182539684
2026-01-12,39.307350198412706
2026-01-13,41.83175892857143
